seq,trace_id,t_req_ms,t_resp_ms,http_code,gateway_latency_ms
0,exp-perf10000-000000-325d0683,1777539302261,1777539302346,202,85.086
1,exp-perf10000-000001-6e392b5f,1777539302261,1777539302343,202,81.309
2,exp-perf10000-000002-34d668b4,1777539302262,1777539302338,202,75.739
3,exp-perf10000-000003-eeb23c9a,1777539302262,1777539302347,202,84.644
4,exp-perf10000-000004-9d63e0d7,1777539302262,1777539302343,202,80.819
5,exp-perf10000-000005-a380a339,1777539302263,1777539302334,202,71.051
6,exp-perf10000-000006-195757b9,1777539302263,1777539302344,202,81.147
7,exp-perf10000-000007-db8957c8,1777539302263,1777539302358,202,94.903
8,exp-perf10000-000008-0139aaa5,1777539302263,1777539302336,202,73.147
9,exp-perf10000-000009-44148af1,1777539302263,1777539302336,202,72.333
10,exp-perf10000-000010-ddf4c4b8,1777539302263,1777539302342,202,78.528
11,exp-perf10000-000011-6c20f774,1777539302264,1777539302331,202,67.909
12,exp-perf10000-000012-43bc3edc,1777539302264,1777539302336,202,72.169
13,exp-perf10000-000013-429a509b,1777539302264,1777539302326,202,61.848
14,exp-perf10000-000014-5e48e3e6,1777539302264,1777539302350,202,86.279
15,exp-perf10000-000015-1caf774c,1777539302264,1777539302348,202,84.235
16,exp-perf10000-000016-d3533da7,1777539302264,1777539302347,202,82.528
17,exp-perf10000-000017-17924f30,1777539302264,1777539302341,202,76.684
18,exp-perf10000-000018-b9d3afa9,1777539302265,1777539302346,202,81.670
19,exp-perf10000-000019-502884f1,1777539302265,1777539302345,202,80.027
20,exp-perf10000-000020-23d7216a,1777539302265,1777539302345,202,80.507
21,exp-perf10000-000021-0e7ad816,1777539302265,1777539302334,202,69.268
22,exp-perf10000-000022-3cd18daf,1777539302265,1777539302340,202,75.276
23,exp-perf10000-000023-11da50dc,1777539302265,1777539302330,202,64.603
24,exp-perf10000-000024-2f947be6,1777539302265,1777539302331,202,66.012
25,exp-perf10000-000025-d870010f,1777539302265,1777539302326,202,60.991
26,exp-perf10000-000026-0d46b32d,1777539302266,1777539302330,202,64.243
27,exp-perf10000-000027-35e74b60,1777539302266,1777539302357,202,91.393
28,exp-perf10000-000028-4491ab6f,1777539302266,1777539302354,202,88.390
29,exp-perf10000-000029-292431bf,1777539302266,1777539302358,202,92.091
30,exp-perf10000-000030-419c7746,1777539302266,1777539302354,202,88.254
31,exp-perf10000-000031-347ede8f,1777539302266,1777539302352,202,85.668
32,exp-perf10000-000032-1ddf310d,1777539302266,1777539302356,202,90.152
33,exp-perf10000-000033-432a4390,1777539302266,1777539302356,202,89.243
34,exp-perf10000-000034-e50eea8c,1777539302266,1777539302355,202,88.557
35,exp-perf10000-000035-26cb214b,1777539302267,1777539302352,202,85.368
36,exp-perf10000-000036-30a4df1d,1777539302267,1777539302349,202,82.768
37,exp-perf10000-000037-2afad30d,1777539302267,1777539302359,202,92.292
38,exp-perf10000-000038-eba6b860,1777539302267,1777539302357,202,89.829
39,exp-perf10000-000039-3fe449d2,1777539302267,1777539302360,202,92.665
40,exp-perf10000-000040-9bcd5744,1777539302267,1777539302355,202,87.883
41,exp-perf10000-000041-96d07f49,1777539302267,1777539302356,202,88.624
42,exp-perf10000-000042-a63abcff,1777539302267,1777539302357,202,90.317
43,exp-perf10000-000043-dcd03f6f,1777539302267,1777539302358,202,91.101
44,exp-perf10000-000044-b0b67d71,1777539302267,1777539302351,202,83.642
45,exp-perf10000-000045-fbf8a8ef,1777539302267,1777539302353,202,85.299
46,exp-perf10000-000046-b87bfb41,1777539302268,1777539302348,202,80.955
47,exp-perf10000-000047-1989cb01,1777539302268,1777539302346,202,77.971
48,exp-perf10000-000048-82910984,1777539302268,1777539302335,202,67.159
49,exp-perf10000-000049-60566027,1777539302268,1777539302332,202,64.213
50,exp-perf10000-000050-fe44455a,1777539302268,1777539302328,202,60.553
51,exp-perf10000-000051-ecd92c45,1777539302268,1777539302327,202,59.003
52,exp-perf10000-000052-b8ec770c,1777539302268,1777539302331,202,62.563
53,exp-perf10000-000053-8af35c29,1777539302268,1777539302335,202,67.110
54,exp-perf10000-000054-6657ecff,1777539302268,1777539302324,202,55.833
55,exp-perf10000-000055-d9076daf,1777539302268,1777539302323,202,55.111
56,exp-perf10000-000056-1a0efeed,1777539302268,1777539302326,202,57.232
57,exp-perf10000-000057-b0ce31bc,1777539302268,1777539302324,202,55.697
58,exp-perf10000-000058-0e5a9adf,1777539302268,1777539302322,202,53.881
