zt-php-worker  | [perf-saga-step1] ts=1777539302.391285 orderId=2a986345-6611-46d7-aca3-f1a828bfe5d5 traceId=exp-perf10000-000063-4986a2cc
zt-php-worker  | [perf-saga-step1] ts=1777539302.526420 orderId=524c500a-1601-4573-bda4-a7d30c9ac6de traceId=exp-perf10000-000058-0e5a9adf
zt-php-worker  | [perf-saga-step1] ts=1777539302.672041 orderId=8555033d-e918-4996-a5a3-8640e5c5d53e traceId=exp-perf10000-000055-d9076daf
zt-php-worker  | [perf-saga-step1] ts=1777539302.871606 orderId=85ab95cc-8cd1-4328-9ef0-60bb90ddb1f8 traceId=exp-perf10000-000059-4f916ada
zt-php-worker  | [perf-saga-complete] ts=1777539303.036790 orderId=2a986345-6611-46d7-aca3-f1a828bfe5d5
zt-php-worker  | [perf-saga-step1] ts=1777539303.073092 orderId=a4f79e57-cb42-4872-abb0-aeae26e2a54e traceId=exp-perf10000-000057-b0ce31bc
zt-php-worker  | [perf-saga-complete] ts=1777539303.275360 orderId=524c500a-1601-4573-bda4-a7d30c9ac6de
zt-php-worker  | [perf-saga-step1] ts=1777539303.337528 orderId=22dc46a7-eb29-4f0c-97ca-a6214e8c9d4f traceId=exp-perf10000-000054-6657ecff
zt-php-worker  | [perf-saga-complete] ts=1777539303.486353 orderId=8555033d-e918-4996-a5a3-8640e5c5d53e
zt-php-worker  | [perf-saga-step1] ts=1777539303.526276 orderId=7b52e2f1-2803-4dcb-b418-72507f33c489 traceId=exp-perf10000-000080-e847dc12
zt-php-worker  | [perf-saga-complete] ts=1777539303.797563 orderId=85ab95cc-8cd1-4328-9ef0-60bb90ddb1f8
zt-php-worker  | [perf-saga-step1] ts=1777539303.847646 orderId=39c34731-a412-4f52-ade9-504df02ce781 traceId=exp-perf10000-000098-36183443
zt-php-worker  | [perf-saga-complete] ts=1777539304.741889 orderId=a4f79e57-cb42-4872-abb0-aeae26e2a54e
zt-php-worker  | [perf-saga-step1] ts=1777539304.781740 orderId=3540a3bd-0b8e-4a8e-8a62-e58cbeff90c3 traceId=exp-perf10000-000056-1a0efeed
zt-php-worker  | [perf-saga-complete] ts=1777539305.181983 orderId=22dc46a7-eb29-4f0c-97ca-a6214e8c9d4f
zt-php-worker  | [perf-saga-step1] ts=1777539305.230870 orderId=e8484ba7-d69d-4b10-b703-cd44acbfec9a traceId=exp-perf10000-000013-429a509b
