zt-php-worker  | [perf-saga-step1] ts=1777539632.306735 orderId=95e1fcc3-2fc8-479c-9bec-cc864cdb29ac traceId=exp-perf20000-000000-50191cf6
zt-php-worker  | [perf-saga-step1] ts=1777539632.459339 orderId=6a692e0f-b0eb-4b0a-911c-1e48da4a7560 traceId=exp-perf20000-000007-9f0db59f
zt-php-worker  | [perf-saga-step1] ts=1777539632.602105 orderId=21790b3f-e8fb-451f-86b2-a53567d80ecb traceId=exp-perf20000-000001-fba98462
zt-php-worker  | [perf-saga-step1] ts=1777539632.828187 orderId=a2996791-9805-4217-a97b-962938f7a4bf traceId=exp-perf20000-000003-d0999d73
zt-php-worker  | [perf-saga-complete] ts=1777539633.042409 orderId=95e1fcc3-2fc8-479c-9bec-cc864cdb29ac
zt-php-worker  | [perf-saga-step1] ts=1777539633.097928 orderId=10981d50-925a-47ec-8350-dd0a673b4ae4 traceId=exp-perf20000-000012-0ba39d1c
zt-php-worker  | [perf-saga-complete] ts=1777539633.336190 orderId=6a692e0f-b0eb-4b0a-911c-1e48da4a7560
zt-php-worker  | [perf-saga-step1] ts=1777539633.380430 orderId=a0a67e30-e59d-4ac1-bfee-522fe115d39e traceId=exp-perf20000-000013-e63b0e76
zt-php-worker  | [perf-saga-complete] ts=1777539633.548125 orderId=21790b3f-e8fb-451f-86b2-a53567d80ecb
zt-php-worker  | [perf-saga-step1] ts=1777539633.590033 orderId=62f9fb72-88e0-466a-b18f-e928ef5fe4f2 traceId=exp-perf20000-000014-092fcdcb
zt-php-worker  | [perf-saga-complete] ts=1777539633.964610 orderId=a2996791-9805-4217-a97b-962938f7a4bf
zt-php-worker  | [perf-saga-step1] ts=1777539634.020848 orderId=0a32b3a3-40c7-49f4-95b9-189503c1180d traceId=exp-perf20000-000018-958b5446
zt-php-worker  | [perf-saga-complete] ts=1777539634.387626 orderId=10981d50-925a-47ec-8350-dd0a673b4ae4
zt-php-worker  | [perf-saga-step1] ts=1777539635.215795 orderId=4a581df9-9449-415f-a534-05beb294801b traceId=exp-perf20000-000002-36ac21ec
zt-php-worker  | [perf-saga-complete] ts=1777539635.588325 orderId=a0a67e30-e59d-4ac1-bfee-522fe115d39e
zt-php-worker  | [perf-saga-step1] ts=1777539635.625854 orderId=62a86556-1ae0-4015-aee2-f7972fb40ebb traceId=exp-perf20000-000020-756fef50
zt-php-worker  | [perf-saga-complete] ts=1777539635.791371 orderId=62f9fb72-88e0-466a-b18f-e928ef5fe4f2
zt-php-worker  | [perf-saga-step1] ts=1777539635.833345 orderId=2424b2ca-31bb-47b2-8007-db18bd29ac21 traceId=exp-perf20000-000004-db453e73
zt-php-worker  | [perf-saga-complete] ts=1777539635.984481 orderId=0a32b3a3-40c7-49f4-95b9-189503c1180d
zt-php-worker  | [perf-saga-step1] ts=1777539636.026910 orderId=14f86f1b-8b4d-4e0b-9d45-82eefa86e387 traceId=exp-perf20000-000006-31346499
zt-php-worker  | [perf-saga-complete] ts=1777539636.181440 orderId=4a581df9-9449-415f-a534-05beb294801b
zt-php-worker  | [perf-saga-step1] ts=1777539636.225846 orderId=fa529401-2beb-45f6-a6b5-c5664c3e9dbb traceId=exp-perf20000-000011-74070a99
zt-php-worker  | [perf-saga-complete] ts=1777539636.377331 orderId=62a86556-1ae0-4015-aee2-f7972fb40ebb
zt-php-worker  | [perf-saga-step1] ts=1777539636.424763 orderId=dcd3bbe6-e014-40c1-adaf-dc93724bd3fd traceId=exp-perf20000-000021-a474dc24
zt-php-worker  | [perf-saga-complete] ts=1777539636.583509 orderId=2424b2ca-31bb-47b2-8007-db18bd29ac21
zt-php-worker  | [perf-saga-step1] ts=1777539636.623902 orderId=fe5e949a-bd2a-426b-b80a-1c9f5d537bad traceId=exp-perf20000-000016-0b62facc
zt-php-worker  | [perf-saga-complete] ts=1777539636.806486 orderId=14f86f1b-8b4d-4e0b-9d45-82eefa86e387
zt-php-worker  | [perf-saga-step1] ts=1777539636.866646 orderId=2cd82787-844e-4b42-8dcc-e5d1d25e3461 traceId=exp-perf20000-000005-16701988
zt-php-worker  | [perf-saga-complete] ts=1777539637.109778 orderId=fa529401-2beb-45f6-a6b5-c5664c3e9dbb
zt-php-worker  | [perf-saga-step1] ts=1777539637.164882 orderId=79a069f9-07cc-4833-839c-5e5af783ceda traceId=exp-perf20000-000022-52df89ac
zt-php-worker  | [perf-saga-complete] ts=1777539637.423619 orderId=dcd3bbe6-e014-40c1-adaf-dc93724bd3fd
zt-php-worker  | [perf-saga-step1] ts=1777539637.469625 orderId=d3376e09-9751-4f39-88b7-9e47e3efd4b4 traceId=exp-perf20000-000015-f25f77f9
zt-php-worker  | [perf-saga-complete] ts=1777539637.619188 orderId=fe5e949a-bd2a-426b-b80a-1c9f5d537bad
zt-php-worker  | [perf-saga-step1] ts=1777539637.663666 orderId=796c076a-d989-415a-b83c-0a0dab96c5fc traceId=exp-perf20000-000010-7ae606eb
zt-php-worker  | [perf-saga-complete] ts=1777539637.827797 orderId=2cd82787-844e-4b42-8dcc-e5d1d25e3461
zt-php-worker  | [perf-saga-step1] ts=1777539637.867610 orderId=b0bb4199-f24c-4e30-9c14-92ee734cf744 traceId=exp-perf20000-000026-0018b718
zt-php-worker  | [perf-saga-complete] ts=1777539638.011935 orderId=79a069f9-07cc-4833-839c-5e5af783ceda
