ts_epoch,kind,label,v1,v2
1784800228.173268752,cpu,zt-gateway,0.09,46.5
1784800228.173268752,cpu,zt-php-worker,0.04,41.6
1784800228.173268752,cpu,zt-rabbitmq,0.12,180.3
1784800228.173268752,queue,order_queue,0,
1784800228.173268752,queue,OrderCreateRequestedEvent,0,
1784800228.173268752,queue,PaymentProcessedEvent,0,
1784800228.173268752,queue,RollbackOrderEvent,0,
1784800228.173268752,queue,InventoryDeductedEvent,0,
1784800228.173268752,queue,OrderSagaCompletedEvent,0,
1784800228.173268752,queue,OrderCreatedEvent,0,
1784800228.173268752,queue,RollbackInventoryEvent,0,
1784800233.018268108,cpu,zt-gateway,0.08,112.9
1784800233.018268108,cpu,zt-php-worker,9.11,47.7
1784800233.018268108,cpu,zt-rabbitmq,2.98,258.6
1784800233.018268108,queue,order_queue,9898,
1784800233.018268108,queue,OrderCreateRequestedEvent,9,
1784800233.018268108,queue,PaymentProcessedEvent,4,
1784800233.018268108,queue,RollbackOrderEvent,0,
1784800233.018268108,queue,InventoryDeductedEvent,3,
1784800233.018268108,queue,OrderSagaCompletedEvent,4,
1784800233.018268108,queue,OrderCreatedEvent,3,
1784800233.018268108,queue,RollbackInventoryEvent,0,
1784800237.867862821,cpu,zt-gateway,0.10,112.9
1784800237.867862821,cpu,zt-php-worker,7.49,47.7
1784800237.867862821,cpu,zt-rabbitmq,249.36,250.8
1784800237.867862821,queue,order_queue,9768,
1784800237.867862821,queue,OrderCreateRequestedEvent,9,
1784800237.867862821,queue,PaymentProcessedEvent,4,
1784800237.867862821,queue,RollbackOrderEvent,0,
1784800237.867862821,queue,InventoryDeductedEvent,4,
1784800237.867862821,queue,OrderSagaCompletedEvent,2,
1784800237.867862821,queue,OrderCreatedEvent,6,
1784800237.867862821,queue,RollbackInventoryEvent,0,
1784800242.719200173,cpu,zt-gateway,0.08,112.9
1784800242.719200173,cpu,zt-php-worker,9.72,47.9
1784800242.719200173,cpu,zt-rabbitmq,67.60,302.7
1784800242.719200173,queue,order_queue,9611,
1784800242.719200173,queue,OrderCreateRequestedEvent,11,
1784800242.719200173,queue,PaymentProcessedEvent,3,
1784800242.719200173,queue,RollbackOrderEvent,0,
1784800242.719200173,queue,InventoryDeductedEvent,3,
1784800242.719200173,queue,OrderSagaCompletedEvent,4,
1784800242.719200173,queue,OrderCreatedEvent,5,
1784800242.719200173,queue,RollbackInventoryEvent,0,
1784800247.604572855,cpu,zt-gateway,0.08,112.9
1784800247.604572855,cpu,zt-php-worker,10.21,47.7
1784800247.604572855,cpu,zt-rabbitmq,2.48,236.1
1784800247.604572855,queue,order_queue,9457,
1784800247.604572855,queue,OrderCreateRequestedEvent,13,
1784800247.604572855,queue,PaymentProcessedEvent,3,
1784800247.604572855,queue,RollbackOrderEvent,0,
1784800247.604572855,queue,InventoryDeductedEvent,4,
1784800247.604572855,queue,OrderSagaCompletedEvent,3,
1784800247.604572855,queue,OrderCreatedEvent,6,
1784800247.604572855,queue,RollbackInventoryEvent,0,
1784800252.451475240,cpu,zt-gateway,0.07,112.9
1784800252.451475240,cpu,zt-php-worker,10.00,47.4
1784800252.451475240,cpu,zt-rabbitmq,247.67,290.4
1784800252.451475240,queue,order_queue,9301,
1784800252.451475240,queue,OrderCreateRequestedEvent,15,
1784800252.451475240,queue,PaymentProcessedEvent,3,
1784800252.451475240,queue,RollbackOrderEvent,0,
1784800252.451475240,queue,InventoryDeductedEvent,4,
1784800252.451475240,queue,OrderSagaCompletedEvent,3,
1784800252.451475240,queue,OrderCreatedEvent,6,
1784800252.451475240,queue,RollbackInventoryEvent,0,
1784800257.300580380,cpu,zt-gateway,0.11,112.9
1784800257.300580380,cpu,zt-php-worker,9.64,47.9
1784800257.300580380,cpu,zt-rabbitmq,2.40,220.2
1784800257.300580380,queue,order_queue,9145,
1784800257.300580380,queue,OrderCreateRequestedEvent,16,
1784800257.300580380,queue,PaymentProcessedEvent,3,
1784800257.300580380,queue,RollbackOrderEvent,0,
1784800257.300580380,queue,InventoryDeductedEvent,3,
1784800257.300580380,queue,OrderSagaCompletedEvent,3,
1784800257.300580380,queue,OrderCreatedEvent,6,
1784800257.300580380,queue,RollbackInventoryEvent,0,
1784800262.150781388,cpu,zt-gateway,0.07,112.9
1784800262.150781388,cpu,zt-php-worker,9.54,47.2
1784800262.150781388,cpu,zt-rabbitmq,3.34,221.6
1784800262.150781388,queue,order_queue,8995,
1784800262.150781388,queue,OrderCreateRequestedEvent,17,
1784800262.150781388,queue,PaymentProcessedEvent,4,
1784800262.150781388,queue,RollbackOrderEvent,0,
1784800262.150781388,queue,InventoryDeductedEvent,2,
1784800262.150781388,queue,OrderSagaCompletedEvent,4,
1784800262.150781388,queue,OrderCreatedEvent,5,
1784800262.150781388,queue,RollbackInventoryEvent,0,
1784800267.074385439,cpu,zt-gateway,0.05,112.9
1784800267.074385439,cpu,zt-php-worker,8.98,47.4
1784800267.074385439,cpu,zt-rabbitmq,3.44,212.4
1784800267.074385439,queue,order_queue,8838,
1784800267.074385439,queue,OrderCreateRequestedEvent,19,
1784800267.074385439,queue,PaymentProcessedEvent,1,
1784800267.074385439,queue,RollbackOrderEvent,0,
1784800267.074385439,queue,InventoryDeductedEvent,5,
1784800267.074385439,queue,OrderSagaCompletedEvent,4,
1784800267.074385439,queue,OrderCreatedEvent,6,
1784800267.074385439,queue,RollbackInventoryEvent,0,
1784800271.934697544,cpu,zt-gateway,0.09,104.0
1784800271.934697544,cpu,zt-php-worker,9.50,47.7
1784800271.934697544,cpu,zt-rabbitmq,3.60,207.6
1784800271.934697544,queue,order_queue,8684,
1784800271.934697544,queue,OrderCreateRequestedEvent,20,
1784800271.934697544,queue,PaymentProcessedEvent,3,
1784800271.934697544,queue,RollbackOrderEvent,0,
1784800271.934697544,queue,InventoryDeductedEvent,3,
1784800271.934697544,queue,OrderSagaCompletedEvent,4,
1784800271.934697544,queue,OrderCreatedEvent,5,
1784800271.934697544,queue,RollbackInventoryEvent,0,
1784800276.800163515,cpu,zt-gateway,0.06,104.0
1784800276.800163515,cpu,zt-php-worker,9.39,47.9
1784800276.800163515,cpu,zt-rabbitmq,2.24,201.0
1784800276.800163515,queue,order_queue,8530,
1784800276.800163515,queue,OrderCreateRequestedEvent,21,
1784800276.800163515,queue,PaymentProcessedEvent,4,
1784800276.800163515,queue,RollbackOrderEvent,0,
1784800276.800163515,queue,InventoryDeductedEvent,2,
1784800276.800163515,queue,OrderSagaCompletedEvent,4,
1784800276.800163515,queue,OrderCreatedEvent,5,
1784800276.800163515,queue,RollbackInventoryEvent,0,
1784800281.657163320,cpu,zt-gateway,0.05,104.0
1784800281.657163320,cpu,zt-php-worker,9.14,47.7
1784800281.657163320,cpu,zt-rabbitmq,1.99,201.7
1784800281.657163320,queue,order_queue,8373,
1784800281.657163320,queue,OrderCreateRequestedEvent,22,
1784800281.657163320,queue,PaymentProcessedEvent,4,
1784800281.657163320,queue,RollbackOrderEvent,0,
1784800281.657163320,queue,InventoryDeductedEvent,4,
1784800281.657163320,queue,OrderSagaCompletedEvent,3,
1784800281.657163320,queue,OrderCreatedEvent,5,
1784800281.657163320,queue,RollbackInventoryEvent,0,
1784800286.518205671,cpu,zt-gateway,0.11,104.0
1784800286.518205671,cpu,zt-php-worker,9.10,47.2
1784800286.518205671,cpu,zt-rabbitmq,181.07,201.4
1784800286.518205671,queue,order_queue,8217,
1784800286.518205671,queue,OrderCreateRequestedEvent,23,
1784800286.518205671,queue,PaymentProcessedEvent,2,
1784800286.518205671,queue,RollbackOrderEvent,0,
1784800286.518205671,queue,InventoryDeductedEvent,5,
1784800286.518205671,queue,OrderSagaCompletedEvent,4,
1784800286.518205671,queue,OrderCreatedEvent,5,
1784800286.518205671,queue,RollbackInventoryEvent,0,
1784800291.370982775,cpu,zt-gateway,0.08,104.0
1784800291.370982775,cpu,zt-php-worker,9.66,47.7
1784800291.370982775,cpu,zt-rabbitmq,3.00,202.9
1784800291.370982775,queue,order_queue,8064,
1784800291.370982775,queue,OrderCreateRequestedEvent,24,
1784800291.370982775,queue,PaymentProcessedEvent,4,
1784800291.370982775,queue,RollbackOrderEvent,0,
1784800291.370982775,queue,InventoryDeductedEvent,3,
1784800291.370982775,queue,OrderSagaCompletedEvent,4,
1784800291.370982775,queue,OrderCreatedEvent,4,
1784800291.370982775,queue,RollbackInventoryEvent,0,
