ts_epoch,kind,label,v1,v2
1784798820.957971679,cpu,zt-gateway,0.09,104.5
1784798820.957971679,cpu,zt-php-worker,0.00,48.1
1784798820.957971679,cpu,zt-rabbitmq,249.70,175.8
1784798820.957971679,queue,order_queue,0,
1784798820.957971679,queue,OrderCreateRequestedEvent,0,
1784798820.957971679,queue,PaymentProcessedEvent,0,
1784798820.957971679,queue,RollbackOrderEvent,0,
1784798820.957971679,queue,InventoryDeductedEvent,0,
1784798820.957971679,queue,OrderSagaCompletedEvent,0,
1784798820.957971679,queue,OrderCreatedEvent,0,
1784798820.957971679,queue,RollbackInventoryEvent,0,
1784798825.798710520,cpu,zt-gateway,0.04,112.3
1784798825.798710520,cpu,zt-php-worker,8.57,48.4
1784798825.798710520,cpu,zt-rabbitmq,233.48,240.0
1784798825.798710520,queue,order_queue,9882,
1784798825.798710520,queue,OrderCreateRequestedEvent,5,
1784798825.798710520,queue,PaymentProcessedEvent,3,
1784798825.798710520,queue,RollbackOrderEvent,0,
1784798825.798710520,queue,InventoryDeductedEvent,3,
1784798825.798710520,queue,OrderSagaCompletedEvent,3,
1784798825.798710520,queue,OrderCreatedEvent,5,
1784798825.798710520,queue,RollbackInventoryEvent,0,
1784798830.660583909,cpu,zt-gateway,0.06,104.8
1784798830.660583909,cpu,zt-php-worker,9.08,48.6
1784798830.660583909,cpu,zt-rabbitmq,2.36,235.6
1784798830.660583909,queue,order_queue,9728,
1784798830.660583909,queue,OrderCreateRequestedEvent,7,
1784798830.660583909,queue,PaymentProcessedEvent,4,
1784798830.660583909,queue,RollbackOrderEvent,0,
1784798830.660583909,queue,InventoryDeductedEvent,2,
1784798830.660583909,queue,OrderSagaCompletedEvent,4,
1784798830.660583909,queue,OrderCreatedEvent,4,
1784798830.660583909,queue,RollbackInventoryEvent,0,
1784798835.515491877,cpu,zt-gateway,0.09,104.8
1784798835.515491877,cpu,zt-php-worker,9.36,48.4
1784798835.515491877,cpu,zt-rabbitmq,2.08,229.0
1784798835.515491877,queue,order_queue,9584,
1784798835.515491877,queue,OrderCreateRequestedEvent,7,
1784798835.515491877,queue,PaymentProcessedEvent,3,
1784798835.515491877,queue,RollbackOrderEvent,0,
1784798835.515491877,queue,InventoryDeductedEvent,2,
1784798835.515491877,queue,OrderSagaCompletedEvent,4,
1784798835.515491877,queue,OrderCreatedEvent,6,
1784798835.515491877,queue,RollbackInventoryEvent,0,
1784798840.361566319,cpu,zt-gateway,0.09,104.8
1784798840.361566319,cpu,zt-php-worker,9.67,48.4
1784798840.361566319,cpu,zt-rabbitmq,2.69,219.6
1784798840.361566319,queue,order_queue,9426,
1784798840.361566319,queue,OrderCreateRequestedEvent,8,
1784798840.361566319,queue,PaymentProcessedEvent,4,
1784798840.361566319,queue,RollbackOrderEvent,0,
1784798840.361566319,queue,InventoryDeductedEvent,3,
1784798840.361566319,queue,OrderSagaCompletedEvent,4,
1784798840.361566319,queue,OrderCreatedEvent,4,
1784798840.361566319,queue,RollbackInventoryEvent,0,
1784798845.215382333,cpu,zt-gateway,0.07,104.8
1784798845.215382333,cpu,zt-php-worker,9.69,48.9
1784798845.215382333,cpu,zt-rabbitmq,3.06,212.0
1784798845.215382333,queue,order_queue,9259,
1784798845.215382333,queue,OrderCreateRequestedEvent,10,
1784798845.215382333,queue,PaymentProcessedEvent,2,
1784798845.215382333,queue,RollbackOrderEvent,0,
1784798845.215382333,queue,InventoryDeductedEvent,4,
1784798845.215382333,queue,OrderSagaCompletedEvent,4,
1784798845.215382333,queue,OrderCreatedEvent,5,
