ts_epoch,kind,label,v1,v2
1784800228.696169124,cpu,order-service-order-service-1,0.01,96.9
1784800228.696169124,db,order,3,50000
1784800231.764862035,cpu,order-service-order-service-1,11.50,100.1
1784800231.764862035,db,order,3,50000
1784800234.889545172,cpu,order-service-order-service-1,10.54,99.2
1784800234.889545172,db,order,3,50000
1784800237.976161635,cpu,order-service-order-service-1,12.92,100.0
1784800237.976161635,db,order,3,50000
1784800241.051551112,cpu,order-service-order-service-1,12.74,100.3
1784800241.051551112,db,order,3,50000
1784800244.132237258,cpu,order-service-order-service-1,12.76,101.4
1784800244.132237258,db,order,3,50000
1784800247.222177904,cpu,order-service-order-service-1,13.81,100.2
1784800247.222177904,db,order,3,50000
1784800250.315418627,cpu,order-service-order-service-1,12.41,100.3
1784800250.315418627,db,order,3,50000
1784800253.404247525,cpu,order-service-order-service-1,13.55,100.4
1784800253.404247525,db,order,3,50000
1784800256.478270494,cpu,order-service-order-service-1,14.42,100.1
1784800256.478270494,db,order,3,50000
1784800259.559825621,cpu,order-service-order-service-1,12.64,100.6
1784800259.559825621,db,order,3,50000
1784800262.652824938,cpu,order-service-order-service-1,26.71,99.6
1784800262.652824938,db,order,3,50000
1784800265.736908538,cpu,order-service-order-service-1,13.29,100.0
1784800265.736908538,db,order,3,50000
1784800268.828021982,cpu,order-service-order-service-1,13.53,100.8
1784800268.828021982,db,order,3,50000
1784800271.908997427,cpu,order-service-order-service-1,12.67,100.8
1784800271.908997427,db,order,3,50000
1784800274.985252135,cpu,order-service-order-service-1,14.48,101.5
1784800274.985252135,db,order,3,50000
1784800278.068436966,cpu,order-service-order-service-1,26.98,100.3
1784800278.068436966,db,order,3,50000
1784800281.138114080,cpu,order-service-order-service-1,13.73,99.5
1784800281.138114080,db,order,3,50000
1784800284.218729069,cpu,order-service-order-service-1,14.42,99.7
1784800284.218729069,db,order,3,50000
1784800287.310345893,cpu,order-service-order-service-1,14.31,99.9
1784800287.310345893,db,order,3,50000
1784800290.389631529,cpu,order-service-order-service-1,15.12,100.5
1784800290.389631529,db,order,3,50000
1784800293.471494341,cpu,order-service-order-service-1,20.65,100.3
1784800293.471494341,db,order,2,50000
1784800296.557092922,cpu,order-service-order-service-1,13.04,99.3
1784800296.557092922,db,order,3,50000
1784800299.642013747,cpu,order-service-order-service-1,14.00,100.2
1784800299.642013747,db,order,3,50000
1784800302.726621028,cpu,order-service-order-service-1,13.69,99.6
1784800302.726621028,db,order,3,50000
1784800305.810064836,cpu,order-service-order-service-1,12.92,100.8
1784800305.810064836,db,order,3,50000
1784800308.891483350,cpu,order-service-order-service-1,11.26,101.5
1784800308.891483350,db,order,2,50000
1784800311.978969585,cpu,order-service-order-service-1,10.37,100.6
1784800311.978969585,db,order,3,50000
1784800315.068946327,cpu,order-service-order-service-1,15.00,101.2
1784800315.068946327,db,order,3,50000
1784800318.151946281,cpu,order-service-order-service-1,14.33,101.1
1784800318.151946281,db,order,3,50000
1784800321.231945413,cpu,order-service-order-service-1,12.69,102.8
1784800321.231945413,db,order,3,50000
1784800324.317347666,cpu,order-service-order-service-1,12.60,103.2
1784800324.317347666,db,order,3,50000
1784800327.394694429,cpu,order-service-order-service-1,12.60,100.2
1784800327.394694429,db,order,3,50000
1784800330.481357035,cpu,order-service-order-service-1,13.08,101.3
1784800330.481357035,db,order,3,50000
1784800333.559174467,cpu,order-service-order-service-1,13.16,101.2
1784800333.559174467,db,order,3,50000
1784800336.627025740,cpu,order-service-order-service-1,12.69,101.5
1784800336.627025740,db,order,3,50000
1784800339.712237520,cpu,order-service-order-service-1,12.37,101.8
1784800339.712237520,db,order,3,50000
1784800342.797212544,cpu,order-service-order-service-1,24.98,99.9
1784800342.797212544,db,order,3,50000
1784800345.885825666,cpu,order-service-order-service-1,14.18,100.5
1784800345.885825666,db,order,3,50000
1784800348.971221800,cpu,order-service-order-service-1,12.51,100.3
1784800348.971221800,db,order,3,50000
1784800352.061127768,cpu,order-service-order-service-1,14.80,100.3
1784800352.061127768,db,order,3,50000
1784800355.153230181,cpu,order-service-order-service-1,12.87,101.3
1784800355.153230181,db,order,3,50000
1784800358.231123048,cpu,order-service-order-service-1,15.33,101.4
1784800358.231123048,db,order,3,50000
1784800361.323238202,cpu,order-service-order-service-1,12.27,100.2
1784800361.323238202,db,order,3,50000
1784800364.408180171,cpu,order-service-order-service-1,12.81,103.7
1784800364.408180171,db,order,3,50000
1784800367.494069418,cpu,order-service-order-service-1,11.97,103.6
1784800367.494069418,db,order,3,50000
1784800370.581235413,cpu,order-service-order-service-1,12.94,105.1
1784800370.581235413,db,order,3,50000
1784800373.674516509,cpu,order-service-order-service-1,12.79,105.8
1784800373.674516509,db,order,3,50000
1784800376.749033630,cpu,order-service-order-service-1,12.46,104.4
1784800376.749033630,db,order,3,50000
1784800379.834188296,cpu,order-service-order-service-1,11.12,101.8
1784800379.834188296,db,order,3,50000
1784800382.911727827,cpu,order-service-order-service-1,13.27,102.2
1784800382.911727827,db,order,3,50000
1784800385.999171893,cpu,order-service-order-service-1,13.70,102.9
1784800385.999171893,db,order,3,50000
1784800389.078243657,cpu,order-service-order-service-1,13.39,102.5
1784800389.078243657,db,order,3,50000
1784800392.166244663,cpu,order-service-order-service-1,26.79,97.5
1784800392.166244663,db,order,3,50000
1784800395.254834111,cpu,order-service-order-service-1,12.67,97.8
1784800395.254834111,db,order,3,50000
1784800398.329791840,cpu,order-service-order-service-1,14.25,98.0
1784800398.329791840,db,order,3,50000
1784800401.409512039,cpu,order-service-order-service-1,15.33,98.1
1784800401.409512039,db,order,3,50000
1784800404.495569003,cpu,order-service-order-service-1,13.45,99.8
1784800404.495569003,db,order,3,50000
1784800407.569975439,cpu,order-service-order-service-1,12.08,99.7
1784800407.569975439,db,order,3,50000
1784800410.657124909,cpu,order-service-order-service-1,11.63,98.2
1784800410.657124909,db,order,3,50000
1784800413.746140323,cpu,order-service-order-service-1,14.27,98.8
1784800413.746140323,db,order,3,50000
1784800416.828614336,cpu,order-service-order-service-1,11.16,99.1
1784800416.828614336,db,order,3,50000
1784800419.908122760,cpu,order-service-order-service-1,13.50,99.3
1784800419.908122760,db,order,3,50000
1784800422.995953362,cpu,order-service-order-service-1,10.61,99.0
1784800422.995953362,db,order,3,50000
1784800426.086892655,cpu,order-service-order-service-1,18.30,99.4
1784800426.086892655,db,order,3,50000
1784800429.170366502,cpu,order-service-order-service-1,12.76,99.5
1784800429.170366502,db,order,3,50000
1784800432.260208556,cpu,order-service-order-service-1,11.92,99.0
1784800432.260208556,db,order,3,50000
1784800435.341065967,cpu,order-service-order-service-1,12.68,99.3
1784800435.341065967,db,order,3,50000
1784800438.427287883,cpu,order-service-order-service-1,14.77,99.4
1784800438.427287883,db,order,3,50000
1784800441.518159633,cpu,order-service-order-service-1,19.13,100.0
1784800441.518159633,db,order,2,50000
1784800444.612948440,cpu,order-service-order-service-1,11.57,100.4
1784800444.612948440,db,order,3,50000
1784800447.692215930,cpu,order-service-order-service-1,12.13,100.5
1784800447.692215930,db,order,3,50000
1784800450.783077323,cpu,order-service-order-service-1,13.66,101.6
1784800450.783077323,db,order,3,50000
1784800453.872145035,cpu,order-service-order-service-1,11.36,101.1
1784800453.872145035,db,order,3,50000
1784800456.960418185,cpu,order-service-order-service-1,12.40,101.9
1784800456.960418185,db,order,3,50000
1784800460.052242492,cpu,order-service-order-service-1,15.29,101.5
1784800460.052242492,db,order,3,50000
1784800463.139022454,cpu,order-service-order-service-1,12.51,102.1
1784800463.139022454,db,order,3,50000
1784800466.229884253,cpu,order-service-order-service-1,13.52,102.1
1784800466.229884253,db,order,3,50000
1784800469.316752993,cpu,order-service-order-service-1,13.70,102.2
1784800469.316752993,db,order,3,50000
1784800472.401273596,cpu,order-service-order-service-1,11.36,103.1
1784800472.401273596,db,order,3,50000
