ts_epoch,kind,label,v1,v2
1784798598.233249682,cpu,order-service-order-service-1,0.01,77.7
1784798598.233249682,db,order,1,50000
1784798601.304497558,cpu,order-service-order-service-1,17.17,83.4
1784798601.304497558,db,order,3,50000
1784798604.407084094,cpu,order-service-order-service-1,10.25,82.6
1784798604.407084094,db,order,3,50000
1784798607.490031220,cpu,order-service-order-service-1,10.49,83.2
1784798607.490031220,db,order,3,50000
1784798610.568322544,cpu,order-service-order-service-1,12.71,83.9
1784798610.568322544,db,order,3,50000
1784798613.652963998,cpu,order-service-order-service-1,14.48,86.1
1784798613.652963998,db,order,3,50000
1784798616.729267794,cpu,order-service-order-service-1,13.12,87.4
1784798616.729267794,db,order,3,50000
1784798619.813183640,cpu,order-service-order-service-1,14.12,85.8
1784798619.813183640,db,order,3,50000
1784798622.891953895,cpu,order-service-order-service-1,13.83,85.6
1784798622.891953895,db,order,3,50000
1784798625.979333120,cpu,order-service-order-service-1,12.74,86.4
1784798625.979333120,db,order,3,50000
1784798629.074332734,cpu,order-service-order-service-1,13.36,87.6
1784798629.074332734,db,order,3,50000
1784798632.168125400,cpu,order-service-order-service-1,12.85,89.4
1784798632.168125400,db,order,3,50000
1784798635.255714158,cpu,order-service-order-service-1,12.55,88.7
1784798635.255714158,db,order,3,50000
1784798638.346228327,cpu,order-service-order-service-1,14.75,89.3
1784798638.346228327,db,order,3,50000
1784798641.433815884,cpu,order-service-order-service-1,14.96,89.1
1784798641.433815884,db,order,3,50000
1784798644.519114226,cpu,order-service-order-service-1,12.78,90.3
1784798644.519114226,db,order,3,50000
1784798647.608462254,cpu,order-service-order-service-1,13.05,90.4
1784798647.608462254,db,order,3,50000
1784798650.690456009,cpu,order-service-order-service-1,12.21,89.3
1784798650.690456009,db,order,3,50000
1784798653.772639744,cpu,order-service-order-service-1,14.68,90.4
1784798653.772639744,db,order,3,50000
1784798656.853339528,cpu,order-service-order-service-1,13.66,90.3
1784798656.853339528,db,order,3,50000
1784798659.932079240,cpu,order-service-order-service-1,12.48,90.5
1784798659.932079240,db,order,3,50000
1784798663.012345064,cpu,order-service-order-service-1,13.01,89.5
1784798663.012345064,db,order,3,50000
1784798666.097862211,cpu,order-service-order-service-1,14.92,88.2
1784798666.097862211,db,order,3,50000
1784798669.191610364,cpu,order-service-order-service-1,13.33,88.8
1784798669.191610364,db,order,3,50000
1784798672.279857524,cpu,order-service-order-service-1,13.53,88.4
1784798672.279857524,db,order,3,50000
1784798675.362820112,cpu,order-service-order-service-1,13.38,88.7
1784798675.362820112,db,order,3,50000
1784798678.453691545,cpu,order-service-order-service-1,11.82,89.0
1784798678.453691545,db,order,3,50000
1784798681.539911765,cpu,order-service-order-service-1,13.86,88.8
1784798681.539911765,db,order,3,50000
1784798684.612901927,cpu,order-service-order-service-1,12.80,88.2
1784798684.612901927,db,order,3,50000
1784798687.697398352,cpu,order-service-order-service-1,13.28,88.7
1784798687.697398352,db,order,3,50000
1784798690.786419771,cpu,order-service-order-service-1,14.81,88.9
1784798690.786419771,db,order,3,50000
1784798693.870511710,cpu,order-service-order-service-1,13.43,90.2
1784798693.870511710,db,order,3,50000
1784798696.950016521,cpu,order-service-order-service-1,14.66,88.4
1784798696.950016521,db,order,3,50000
1784798700.038400925,cpu,order-service-order-service-1,13.15,88.9
1784798700.038400925,db,order,3,50000
1784798703.128867700,cpu,order-service-order-service-1,14.49,88.5
1784798703.128867700,db,order,3,50000
1784798706.213328430,cpu,order-service-order-service-1,14.74,88.9
1784798706.213328430,db,order,3,50000
1784798709.302995122,cpu,order-service-order-service-1,14.13,89.4
1784798709.302995122,db,order,3,50000
1784798712.384461113,cpu,order-service-order-service-1,13.41,88.4
1784798712.384461113,db,order,3,50000
1784798715.464360548,cpu,order-service-order-service-1,14.38,90.0
1784798715.464360548,db,order,3,50000
1784798718.545181974,cpu,order-service-order-service-1,14.40,89.8
1784798718.545181974,db,order,3,50000
1784798721.621224109,cpu,order-service-order-service-1,15.23,90.1
1784798721.621224109,db,order,3,50000
1784798724.707108430,cpu,order-service-order-service-1,12.25,90.4
1784798724.707108430,db,order,3,50000
1784798727.791403770,cpu,order-service-order-service-1,11.24,88.6
1784798727.791403770,db,order,3,50000
1784798730.874480699,cpu,order-service-order-service-1,14.84,89.2
1784798730.874480699,db,order,3,50000
1784798733.958025395,cpu,order-service-order-service-1,12.60,88.6
1784798733.958025395,db,order,3,50000
1784798737.039443779,cpu,order-service-order-service-1,13.58,88.5
