ts_epoch,kind,label,v1,v2
1784799968.305170106,cpu,production-service-production-service-1,0.01,91.8
1784799968.305170106,db,production,3,50000
1784799971.391843256,cpu,production-service-production-service-1,13.45,94.4
1784799971.391843256,db,production,7,50000
1784799974.479750708,cpu,production-service-production-service-1,11.24,94.0
1784799974.479750708,db,production,3,50000
1784799977.558893254,cpu,production-service-production-service-1,13.77,93.4
1784799977.558893254,db,production,3,50000
1784799980.636628944,cpu,production-service-production-service-1,11.87,94.5
1784799980.636628944,db,production,5,50000
1784799983.719349693,cpu,production-service-production-service-1,18.01,94.6
1784799983.719349693,db,production,5,50000
1784799986.796540495,cpu,production-service-production-service-1,11.17,95.4
1784799986.796540495,db,production,5,50000
1784799989.870459246,cpu,production-service-production-service-1,12.45,93.7
1784799989.870459246,db,production,5,50000
1784799992.953757908,cpu,production-service-production-service-1,14.30,93.4
1784799992.953757908,db,production,3,50000
1784799996.031850770,cpu,production-service-production-service-1,14.26,93.5
1784799996.031850770,db,production,7,50000
1784799999.112268966,cpu,production-service-production-service-1,13.83,94.0
1784799999.112268966,db,production,7,50000
1784800002.191735524,cpu,production-service-production-service-1,14.09,94.3
1784800002.191735524,db,production,5,50000
1784800005.267046920,cpu,production-service-production-service-1,15.13,94.2
1784800005.267046920,db,production,5,50000
1784800008.348396714,cpu,production-service-production-service-1,21.02,93.7
1784800008.348396714,db,production,5,50000
1784800011.428212277,cpu,production-service-production-service-1,14.43,92.8
1784800011.428212277,db,production,5,50000
1784800014.511799649,cpu,production-service-production-service-1,14.89,94.0
1784800014.511799649,db,production,7,50000
1784800017.602203091,cpu,production-service-production-service-1,15.18,94.3
1784800017.602203091,db,production,7,50000
1784800020.690778033,cpu,production-service-production-service-1,15.42,93.9
1784800020.690778033,db,production,3,50000
1784800023.778998529,cpu,production-service-production-service-1,14.97,94.9
1784800023.778998529,db,production,5,50000
1784800026.860103006,cpu,production-service-production-service-1,14.37,95.1
1784800026.860103006,db,production,7,50000
1784800029.946183767,cpu,production-service-production-service-1,15.08,93.6
1784800029.946183767,db,production,7,50000
1784800033.038827162,cpu,production-service-production-service-1,14.44,94.6
1784800033.038827162,db,production,5,50000
1784800036.119351576,cpu,production-service-production-service-1,17.02,93.8
1784800036.119351576,db,production,5,50000
1784800039.207376092,cpu,production-service-production-service-1,14.86,94.5
1784800039.207376092,db,production,7,50000
1784800042.285177891,cpu,production-service-production-service-1,19.08,93.1
1784800042.285177891,db,production,5,50000
1784800045.363094883,cpu,production-service-production-service-1,16.31,93.0
1784800045.363094883,db,production,5,50000
1784800048.443755348,cpu,production-service-production-service-1,14.74,94.2
1784800048.443755348,db,production,3,50000
1784800051.525893836,cpu,production-service-production-service-1,20.37,92.9
1784800051.525893836,db,production,7,50000
1784800054.605761815,cpu,production-service-production-service-1,14.70,93.4
1784800054.605761815,db,production,7,50000
1784800057.688689081,cpu,production-service-production-service-1,14.86,93.7
1784800057.688689081,db,production,7,50000
1784800060.780416150,cpu,production-service-production-service-1,14.63,93.3
1784800060.780416150,db,production,7,50000
1784800063.862790801,cpu,production-service-production-service-1,14.36,93.8
1784800063.862790801,db,production,5,50000
1784800066.938559717,cpu,production-service-production-service-1,20.83,92.7
1784800066.938559717,db,production,3,50000
1784800070.017157834,cpu,production-service-production-service-1,13.77,93.3
1784800070.017157834,db,production,5,50000
1784800073.112298024,cpu,production-service-production-service-1,19.28,93.7
1784800073.112298024,db,production,5,50000
1784800076.198747910,cpu,production-service-production-service-1,16.10,94.1
1784800076.198747910,db,production,7,50000
1784800079.288553688,cpu,production-service-production-service-1,14.31,94.9
1784800079.288553688,db,production,5,50000
1784800082.371796446,cpu,production-service-production-service-1,15.47,95.5
1784800082.371796446,db,production,7,50000
1784800085.452385170,cpu,production-service-production-service-1,16.13,96.5
1784800085.452385170,db,production,5,50000
1784800088.533040300,cpu,production-service-production-service-1,14.42,93.2
1784800088.533040300,db,production,7,50000
1784800091.626789300,cpu,production-service-production-service-1,15.39,93.2
1784800091.626789300,db,production,3,50000
1784800094.701467942,cpu,production-service-production-service-1,14.68,93.7
1784800094.701467942,db,production,5,50000
1784800097.794405223,cpu,production-service-production-service-1,14.56,93.4
1784800097.794405223,db,production,5,50000
1784800100.879964173,cpu,production-service-production-service-1,19.86,92.7
1784800100.879964173,db,production,5,50000
1784800103.968175378,cpu,production-service-production-service-1,15.17,94.8
1784800103.968175378,db,production,5,50000
1784800107.052388537,cpu,production-service-production-service-1,14.71,95.1
1784800107.052388537,db,production,7,50000
1784800110.137799371,cpu,production-service-production-service-1,14.65,94.7
1784800110.137799371,db,production,3,50000
1784800113.219439167,cpu,production-service-production-service-1,14.68,95.6
1784800113.219439167,db,production,7,50000
1784800116.313894433,cpu,production-service-production-service-1,16.59,95.1
1784800116.313894433,db,production,7,50000
1784800119.391042850,cpu,production-service-production-service-1,11.25,94.3
1784800119.391042850,db,production,3,50000
1784800122.475916925,cpu,production-service-production-service-1,17.68,94.2
1784800122.475916925,db,production,3,50000
1784800125.550290306,cpu,production-service-production-service-1,11.70,94.6
1784800125.550290306,db,production,3,50000
1784800128.626196169,cpu,production-service-production-service-1,12.14,93.5
1784800128.626196169,db,production,7,50000
1784800131.705231841,cpu,production-service-production-service-1,12.09,93.8
1784800131.705231841,db,production,3,50000
1784800134.791704484,cpu,production-service-production-service-1,12.22,94.0
1784800134.791704484,db,production,3,50000
1784800137.876010334,cpu,production-service-production-service-1,12.44,93.6
1784800137.876010334,db,production,5,50000
1784800140.958620441,cpu,production-service-production-service-1,11.72,93.7
1784800140.958620441,db,production,7,50000
1784800144.035499146,cpu,production-service-production-service-1,0.08,92.9
1784800144.035499146,db,production,3,50000
1784800147.118324518,cpu,production-service-production-service-1,0.02,93.4
1784800147.118324518,db,production,3,50000
1784800150.208601200,cpu,production-service-production-service-1,0.01,92.8
1784800150.208601200,db,production,3,50000
1784800153.288048564,cpu,production-service-production-service-1,0.01,92.4
1784800153.288048564,db,production,3,50000
1784800156.369259421,cpu,production-service-production-service-1,1.85,93.2
1784800156.369259421,db,production,3,50000
1784800159.451226349,cpu,production-service-production-service-1,0.08,92.7
1784800159.451226349,db,production,3,50000
1784800162.535879356,cpu,production-service-production-service-1,0.01,92.0
1784800162.535879356,db,production,3,50000
1784800165.627764496,cpu,production-service-production-service-1,0.01,92.2
1784800165.627764496,db,production,3,50000
1784800168.715266185,cpu,production-service-production-service-1,0.01,92.8
1784800168.715266185,db,production,3,50000
1784800171.791359611,cpu,production-service-production-service-1,0.01,92.7
1784800171.791359611,db,production,3,50000
1784800174.869693769,cpu,production-service-production-service-1,0.06,92.7
1784800174.869693769,db,production,3,50000
1784800177.960526320,cpu,production-service-production-service-1,0.01,93.0
1784800177.960526320,db,production,3,50000
1784800181.048614300,cpu,production-service-production-service-1,0.01,93.2
1784800181.048614300,db,production,3,50000
1784800184.129188193,cpu,production-service-production-service-1,0.07,92.5
1784800184.129188193,db,production,3,50000
1784800187.210266895,cpu,production-service-production-service-1,0.01,93.3
1784800187.210266895,db,production,3,50000
1784800190.276159185,cpu,production-service-production-service-1,0.01,93.1
1784800190.276159185,db,production,3,50000
1784800193.364569064,cpu,production-service-production-service-1,0.01,92.8
1784800193.364569064,db,production,3,50000
1784800196.451875850,cpu,production-service-production-service-1,1.78,92.5
1784800196.451875850,db,production,3,50000
