ts_epoch,kind,label,v1,v2
1784798821.694309486,cpu,production-service-production-service-1,0.01,86.4
1784798821.694309486,db,production,3,50000
1784798824.776818578,cpu,production-service-production-service-1,19.57,88.5
1784798824.776818578,db,production,7,50000
1784798827.864626887,cpu,production-service-production-service-1,16.56,88.6
1784798827.864626887,db,production,7,50000
1784798830.940656127,cpu,production-service-production-service-1,13.51,89.5
1784798830.940656127,db,production,3,50000
1784798834.024807062,cpu,production-service-production-service-1,13.31,89.2
1784798834.024807062,db,production,3,50000
1784798837.100287448,cpu,production-service-production-service-1,16.20,91.1
1784798837.100287448,db,production,7,50000
1784798840.189953591,cpu,production-service-production-service-1,16.55,91.2
1784798840.189953591,db,production,5,50000
1784798843.277784098,cpu,production-service-production-service-1,15.85,90.7
1784798843.277784098,db,production,5,50000
1784798846.353240757,cpu,production-service-production-service-1,16.48,91.0
1784798846.353240757,db,production,7,50000
1784798849.430635469,cpu,production-service-production-service-1,15.54,91.8
1784798849.430635469,db,production,5,50000
1784798852.519536900,cpu,production-service-production-service-1,15.83,90.4
1784798852.519536900,db,production,7,50000
1784798855.598790766,cpu,production-service-production-service-1,14.97,90.8
1784798855.598790766,db,production,5,50000
1784798858.682833813,cpu,production-service-production-service-1,18.24,89.6
1784798858.682833813,db,production,5,50000
1784798861.772742918,cpu,production-service-production-service-1,16.83,91.2
1784798861.772742918,db,production,7,50000
1784798864.860366033,cpu,production-service-production-service-1,16.28,92.0
1784798864.860366033,db,production,7,50000
1784798867.943972370,cpu,production-service-production-service-1,17.27,93.4
1784798867.943972370,db,production,5,50000
1784798871.031989540,cpu,production-service-production-service-1,15.55,92.3
1784798871.031989540,db,production,7,50000
1784798874.111461620,cpu,production-service-production-service-1,15.28,91.8
1784798874.111461620,db,production,3,50000
1784798877.195920787,cpu,production-service-production-service-1,16.07,92.2
1784798877.195920787,db,production,5,50000
1784798880.284869258,cpu,production-service-production-service-1,16.72,92.2
1784798880.284869258,db,production,5,50000
1784798883.365443687,cpu,production-service-production-service-1,21.35,91.4
1784798883.365443687,db,production,5,50000
1784798886.458796646,cpu,production-service-production-service-1,15.19,92.1
1784798886.458796646,db,production,3,50000
1784798889.536684471,cpu,production-service-production-service-1,16.84,93.4
1784798889.536684471,db,production,7,50000
1784798892.623485761,cpu,production-service-production-service-1,15.05,93.4
1784798892.623485761,db,production,5,50000
1784798895.714830338,cpu,production-service-production-service-1,15.40,89.3
1784798895.714830338,db,production,5,50000
1784798898.800873266,cpu,production-service-production-service-1,23.80,89.5
1784798898.800873266,db,production,3,50000
1784798901.888422000,cpu,production-service-production-service-1,16.34,90.7
1784798901.888422000,db,production,5,50000
1784798904.970794442,cpu,production-service-production-service-1,16.13,89.8
1784798904.970794442,db,production,7,50000
1784798908.059567650,cpu,production-service-production-service-1,16.31,91.5
1784798908.059567650,db,production,5,50000
1784798911.144874708,cpu,production-service-production-service-1,16.61,92.2
1784798911.144874708,db,production,5,50000
1784798914.220863664,cpu,production-service-production-service-1,21.26,91.4
1784798914.220863664,db,production,7,50000
1784798917.298456462,cpu,production-service-production-service-1,21.55,91.0
1784798917.298456462,db,production,6,50000
1784798920.381625891,cpu,production-service-production-service-1,16.31,92.0
1784798920.381625891,db,production,3,50000
1784798923.460686574,cpu,production-service-production-service-1,16.00,93.6
1784798923.460686574,db,production,3,50000
1784798926.535934567,cpu,production-service-production-service-1,15.58,93.8
1784798926.535934567,db,production,7,50000
1784798929.620476663,cpu,production-service-production-service-1,15.20,92.1
1784798929.620476663,db,production,5,50000
1784798932.708054523,cpu,production-service-production-service-1,22.10,91.8
1784798932.708054523,db,production,5,50000
1784798935.792868506,cpu,production-service-production-service-1,16.01,91.8
1784798935.792868506,db,production,5,50000
1784798938.869214585,cpu,production-service-production-service-1,17.95,92.1
1784798938.869214585,db,production,7,50000
1784798941.945607629,cpu,production-service-production-service-1,16.45,92.8
1784798941.945607629,db,production,5,50000
1784798945.025729806,cpu,production-service-production-service-1,15.64,92.1
1784798945.025729806,db,production,7,50000
1784798948.103283473,cpu,production-service-production-service-1,21.35,91.5
1784798948.103283473,db,production,7,50000
1784798951.183906532,cpu,production-service-production-service-1,15.71,93.0
1784798951.183906532,db,production,5,50000
1784798954.267167424,cpu,production-service-production-service-1,15.39,93.6
1784798954.267167424,db,production,5,50000
1784798957.359429363,cpu,production-service-production-service-1,16.58,93.3
1784798957.359429363,db,production,6,50000
1784798960.450839359,cpu,production-service-production-service-1,15.67,91.9
1784798960.450839359,db,production,5,50000
1784798963.531787537,cpu,production-service-production-service-1,15.27,92.2
1784798963.531787537,db,production,7,50000
1784798966.610024391,cpu,production-service-production-service-1,15.47,91.4
1784798966.610024391,db,production,5,50000
1784798969.695307881,cpu,production-service-production-service-1,15.66,92.6
1784798969.695307881,db,production,7,50000
1784798972.770753913,cpu,production-service-production-service-1,12.70,92.2
1784798972.770753913,db,production,7,50000
1784798975.845350255,cpu,production-service-production-service-1,12.18,93.2
1784798975.845350255,db,production,3,50000
1784798978.929567669,cpu,production-service-production-service-1,19.48,93.5
1784798978.929567669,db,production,7,50000
1784798982.011918626,cpu,production-service-production-service-1,12.00,94.7
1784798982.011918626,db,production,3,50000
1784798985.100544284,cpu,production-service-production-service-1,12.09,95.0
1784798985.100544284,db,production,7,50000
1784798988.181767146,cpu,production-service-production-service-1,12.80,94.5
1784798988.181767146,db,production,3,50000
1784798991.268028416,cpu,production-service-production-service-1,12.07,92.0
1784798991.268028416,db,production,3,50000
1784798994.348812567,cpu,production-service-production-service-1,12.35,92.8
1784798994.348812567,db,production,3,50000
1784798997.427402864,cpu,production-service-production-service-1,17.94,92.3
1784798997.427402864,db,production,7,50000
1784799000.516938598,cpu,production-service-production-service-1,11.47,92.5
1784799000.516938598,db,production,3,50000
1784799003.605628786,cpu,production-service-production-service-1,12.44,92.2
1784799003.605628786,db,production,7,50000
1784799006.683020742,cpu,production-service-production-service-1,12.57,93.5
1784799006.683020742,db,production,7,50000
1784799009.744484183,cpu,production-service-production-service-1,14.20,93.7
1784799009.744484183,db,production,7,50000
1784799012.827669016,cpu,production-service-production-service-1,12.54,93.2
1784799012.827669016,db,production,3,50000
1784799015.909699698,cpu,production-service-production-service-1,17.89,92.6
1784799015.909699698,db,production,7,50000
1784799018.993773128,cpu,production-service-production-service-1,14.53,92.8
1784799018.993773128,db,production,3,50000
1784799022.077234620,cpu,production-service-production-service-1,13.12,93.1
1784799022.077234620,db,production,3,50000
1784799025.159707959,cpu,production-service-production-service-1,12.31,93.0
1784799025.159707959,db,production,3,50000
1784799028.232784749,cpu,production-service-production-service-1,12.35,92.8
1784799028.232784749,db,production,3,50000
1784799031.316322037,cpu,production-service-production-service-1,12.32,93.5
1784799031.316322037,db,production,5,50000
1784799034.397828395,cpu,production-service-production-service-1,12.05,93.1
1784799034.397828395,db,production,3,50000
1784799037.482754650,cpu,production-service-production-service-1,12.55,93.3
1784799037.482754650,db,production,7,50000
1784799040.569096968,cpu,production-service-production-service-1,12.87,92.8
1784799040.569096968,db,production,3,50000
1784799043.654905628,cpu,production-service-production-service-1,11.94,93.4
1784799043.654905628,db,production,5,50000
1784799046.734206876,cpu,production-service-production-service-1,12.14,93.1
1784799046.734206876,db,production,7,50000
1784799049.811707232,cpu,production-service-production-service-1,20.32,93.2
1784799049.811707232,db,production,7,50000
1784799052.890722380,cpu,production-service-production-service-1,12.27,95.2
1784799052.890722380,db,production,3,50000
1784799055.977247827,cpu,production-service-production-service-1,12.61,93.2
1784799055.977247827,db,production,3,50000
1784799059.057104793,cpu,production-service-production-service-1,12.01,93.1
1784799059.057104793,db,production,3,50000
1784799062.146137616,cpu,production-service-production-service-1,12.24,94.3
1784799062.146137616,db,production,3,50000
1784799065.220209246,cpu,production-service-production-service-1,12.41,94.8
1784799065.220209246,db,production,3,50000
1784799068.297129214,cpu,production-service-production-service-1,18.81,93.1
1784799068.297129214,db,production,3,50000
1784799071.378983076,cpu,production-service-production-service-1,11.84,94.0
1784799071.378983076,db,production,3,50000
1784799074.462978092,cpu,production-service-production-service-1,12.09,93.4
1784799074.462978092,db,production,7,50000
1784799077.542862960,cpu,production-service-production-service-1,12.48,93.2
1784799077.542862960,db,production,7,50000
1784799080.625303312,cpu,production-service-production-service-1,12.84,91.3
1784799080.625303312,db,production,3,50000
1784799083.703311779,cpu,production-service-production-service-1,11.36,91.5
1784799083.703311779,db,production,3,50000
1784799086.799173226,cpu,production-service-production-service-1,17.54,90.2
1784799086.799173226,db,production,3,50000
1784799089.878788043,cpu,production-service-production-service-1,13.34,91.1
1784799089.878788043,db,production,5,50000
1784799092.961405316,cpu,production-service-production-service-1,12.33,91.0
1784799092.961405316,db,production,7,50000
1784799096.044384192,cpu,production-service-production-service-1,12.11,92.8
1784799096.044384192,db,production,3,50000
1784799099.120493123,cpu,production-service-production-service-1,12.12,93.3
1784799099.120493123,db,production,3,50000
1784799102.209076110,cpu,production-service-production-service-1,11.60,92.8
1784799102.209076110,db,production,7,50000
1784799105.285723400,cpu,production-service-production-service-1,11.61,90.8
1784799105.285723400,db,production,7,50000
1784799108.365765763,cpu,production-service-production-service-1,11.27,90.2
1784799108.365765763,db,production,5,50000
1784799111.453372800,cpu,production-service-production-service-1,11.87,89.3
1784799111.453372800,db,production,3,50000
1784799114.530196290,cpu,production-service-production-service-1,12.26,90.2
1784799114.530196290,db,production,7,50000
1784799117.608546335,cpu,production-service-production-service-1,12.68,91.3
1784799117.608546335,db,production,7,50000
1784799120.696135500,cpu,production-service-production-service-1,12.80,91.6
1784799120.696135500,db,production,3,50000
1784799123.769765117,cpu,production-service-production-service-1,11.91,93.7
1784799123.769765117,db,production,3,50000
1784799126.857815796,cpu,production-service-production-service-1,12.78,92.9
1784799126.857815796,db,production,3,50000
1784799129.929624734,cpu,production-service-production-service-1,14.73,92.0
1784799129.929624734,db,production,7,50000
1784799133.013045522,cpu,production-service-production-service-1,11.39,92.2
1784799133.013045522,db,production,5,50000
1784799136.095113985,cpu,production-service-production-service-1,12.11,92.1
1784799136.095113985,db,production,3,50000
1784799139.169946132,cpu,production-service-production-service-1,12.14,92.7
1784799139.169946132,db,production,3,50000
1784799142.250897723,cpu,production-service-production-service-1,12.83,93.0
1784799142.250897723,db,production,3,50000
1784799145.327003716,cpu,production-service-production-service-1,12.72,92.9
1784799145.327003716,db,production,3,50000
1784799148.416484057,cpu,production-service-production-service-1,12.43,90.9
1784799148.416484057,db,production,3,50000
1784799151.508778515,cpu,production-service-production-service-1,11.95,91.3
1784799151.508778515,db,production,7,50000
1784799154.588318488,cpu,production-service-production-service-1,11.50,93.3
1784799154.588318488,db,production,5,50000
1784799157.675912496,cpu,production-service-production-service-1,12.27,93.3
1784799157.675912496,db,production,4,50000
1784799160.754721303,cpu,production-service-production-service-1,13.99,93.1
1784799160.754721303,db,production,7,50000
1784799163.833457195,cpu,production-service-production-service-1,18.46,93.0
1784799163.833457195,db,production,7,50000
1784799166.914988721,cpu,production-service-production-service-1,0.01,93.5
1784799166.914988721,db,production,3,50000
1784799169.992521767,cpu,production-service-production-service-1,0.01,93.3
1784799169.992521767,db,production,3,50000
1784799173.059805319,cpu,production-service-production-service-1,0.01,92.7
1784799173.059805319,db,production,3,50000
1784799176.144883468,cpu,production-service-production-service-1,0.01,92.7
1784799176.144883468,db,production,3,50000
1784799179.230318648,cpu,production-service-production-service-1,0.06,92.5
1784799179.230318648,db,production,3,50000
1784799182.325004526,cpu,production-service-production-service-1,0.01,92.5
1784799182.325004526,db,production,3,50000
1784799185.411564211,cpu,production-service-production-service-1,0.01,92.3
1784799185.411564211,db,production,3,50000
1784799188.502303066,cpu,production-service-production-service-1,0.00,92.3
1784799188.502303066,db,production,3,50000
1784799191.589532209,cpu,production-service-production-service-1,0.01,93.2
1784799191.589532209,db,production,3,50000
1784799194.673033616,cpu,production-service-production-service-1,0.04,92.7
1784799194.673033616,db,production,3,50000
1784799197.744923159,cpu,production-service-production-service-1,0.01,92.5
1784799197.744923159,db,production,3,50000
1784799200.830610691,cpu,production-service-production-service-1,2.54,93.5
1784799200.830610691,db,production,3,50000
1784799203.908707747,cpu,production-service-production-service-1,0.02,92.6
1784799203.908707747,db,production,3,50000
