ts_epoch,kind,label,v1,v2
1784800646.247254951,cpu,user-service-user-service-1,0.06,86.9
1784800646.247254951,db,user,3,10000
1784800649.311060067,cpu,user-service-user-service-1,14.71,86.0
1784800649.311060067,db,user,5,10000
1784800652.409549875,cpu,user-service-user-service-1,7.21,85.2
1784800652.409549875,db,user,3,10000
1784800655.496455442,cpu,user-service-user-service-1,8.22,85.4
1784800655.496455442,db,user,3,10000
1784800658.596591733,cpu,user-service-user-service-1,8.57,85.3
1784800658.596591733,db,user,5,10000
1784800661.716122289,cpu,user-service-user-service-1,11.19,85.5
1784800661.716122289,db,user,5,10000
1784800664.816543598,cpu,user-service-user-service-1,8.81,84.8
1784800664.816543598,db,user,3,10000
1784800667.917668282,cpu,user-service-user-service-1,7.01,86.7
1784800667.917668282,db,user,5,10000
1784800671.028994194,cpu,user-service-user-service-1,7.64,87.0
1784800671.028994194,db,user,3,10000
1784800674.123163722,cpu,user-service-user-service-1,6.43,87.0
1784800674.123163722,db,user,3,10000
1784800677.227769890,cpu,user-service-user-service-1,6.30,87.4
1784800677.227769890,db,user,3,10000
1784800680.359677613,cpu,user-service-user-service-1,8.21,87.6
1784800680.359677613,db,user,3,10000
1784800683.451262353,cpu,user-service-user-service-1,6.97,88.0
1784800683.451262353,db,user,3,10000
1784800686.555217043,cpu,user-service-user-service-1,6.38,84.4
1784800686.555217043,db,user,3,10000
1784800689.658808470,cpu,user-service-user-service-1,7.61,84.8
1784800689.658808470,db,user,3,10000
1784800692.750991612,cpu,user-service-user-service-1,7.16,84.8
1784800692.750991612,db,user,3,10000
1784800695.847664836,cpu,user-service-user-service-1,6.38,84.8
1784800695.847664836,db,user,7,10000
1784800698.933862981,cpu,user-service-user-service-1,8.88,84.8
1784800698.933862981,db,user,3,10000
1784800702.031118286,cpu,user-service-user-service-1,8.70,85.0
1784800702.031118286,db,user,3,10000
1784800705.136684388,cpu,user-service-user-service-1,7.07,85.5
1784800705.136684388,db,user,3,10000
1784800708.255121620,cpu,user-service-user-service-1,6.33,85.9
1784800708.255121620,db,user,3,10000
1784800711.356441732,cpu,user-service-user-service-1,7.50,86.9
1784800711.356441732,db,user,3,10000
1784800714.447855931,cpu,user-service-user-service-1,6.42,86.4
1784800714.447855931,db,user,3,10000
1784800717.564038233,cpu,user-service-user-service-1,6.47,86.6
1784800717.564038233,db,user,3,10000
1784800720.664992756,cpu,user-service-user-service-1,8.07,86.9
1784800720.664992756,db,user,3,10000
1784800723.766791384,cpu,user-service-user-service-1,11.88,82.5
1784800723.766791384,db,user,7,10000
1784800726.869653344,cpu,user-service-user-service-1,8.53,84.2
1784800726.869653344,db,user,3,10000
1784800729.954943549,cpu,user-service-user-service-1,6.43,84.5
1784800729.954943549,db,user,5,10000
1784800733.043926999,cpu,user-service-user-service-1,7.41,84.6
1784800733.043926999,db,user,3,10000
1784800736.163220636,cpu,user-service-user-service-1,6.46,84.6
1784800736.163220636,db,user,3,10000
1784800739.272812053,cpu,user-service-user-service-1,6.52,84.8
1784800739.272812053,db,user,3,10000
1784800742.358781707,cpu,user-service-user-service-1,8.79,85.0
1784800742.358781707,db,user,3,10000
1784800745.457195121,cpu,user-service-user-service-1,7.17,85.8
1784800745.457195121,db,user,3,10000
1784800748.551893559,cpu,user-service-user-service-1,6.34,86.6
1784800748.551893559,db,user,3,10000
1784800751.649102223,cpu,user-service-user-service-1,8.69,89.1
1784800751.649102223,db,user,3,10000
1784800754.710402343,cpu,user-service-user-service-1,6.72,87.6
1784800754.710402343,db,user,7,10000
1784800757.832367233,cpu,user-service-user-service-1,7.63,87.7
1784800757.832367233,db,user,3,10000
1784800760.947047928,cpu,user-service-user-service-1,6.88,87.9
1784800760.947047928,db,user,5,10000
1784800764.046001495,cpu,user-service-user-service-1,20.01,86.1
1784800764.046001495,db,user,7,10000
