ts_epoch,kind,label,v1,v2
1784799231.603686660,cpu,user-service-user-service-1,0.07,92.0
1784799231.603686660,db,user,3,10000
1784799234.714907736,cpu,user-service-user-service-1,7.31,92.4
1784799234.714907736,db,user,3,10000
1784799237.816086213,cpu,user-service-user-service-1,8.99,94.0
1784799237.816086213,db,user,3,10000
1784799240.922348676,cpu,user-service-user-service-1,8.81,90.4
1784799240.922348676,db,user,3,10000
1784799244.026692577,cpu,user-service-user-service-1,8.54,90.8
1784799244.026692577,db,user,3,10000
1784799247.123144272,cpu,user-service-user-service-1,7.54,90.8
1784799247.123144272,db,user,3,10000
1784799250.223819114,cpu,user-service-user-service-1,8.87,90.8
1784799250.223819114,db,user,5,10000
1784799253.324197661,cpu,user-service-user-service-1,10.50,90.8
1784799253.324197661,db,user,3,10000
1784799256.413100852,cpu,user-service-user-service-1,8.68,91.3
1784799256.413100852,db,user,3,10000
1784799259.508284748,cpu,user-service-user-service-1,8.48,91.5
1784799259.508284748,db,user,3,10000
1784799262.569115491,cpu,user-service-user-service-1,8.63,91.6
1784799262.569115491,db,user,3,10000
1784799265.669568870,cpu,user-service-user-service-1,8.70,92.1
1784799265.669568870,db,user,3,10000
1784799268.764770940,cpu,user-service-user-service-1,8.42,92.4
1784799268.764770940,db,user,3,10000
1784799271.863964107,cpu,user-service-user-service-1,14.89,90.7
1784799271.863964107,db,user,3,10000
1784799274.975741522,cpu,user-service-user-service-1,8.79,88.1
1784799274.975741522,db,user,3,10000
1784799278.070934170,cpu,user-service-user-service-1,8.21,88.1
1784799278.070934170,db,user,3,10000
1784799281.166716527,cpu,user-service-user-service-1,8.69,88.1
1784799281.166716527,db,user,3,10000
1784799284.266041263,cpu,user-service-user-service-1,9.07,88.2
1784799284.266041263,db,user,7,10000
1784799287.365957111,cpu,user-service-user-service-1,8.78,88.6
1784799287.365957111,db,user,3,10000
1784799290.468570650,cpu,user-service-user-service-1,8.71,88.8
1784799290.468570650,db,user,3,10000
1784799293.566319473,cpu,user-service-user-service-1,10.84,89.2
1784799293.566319473,db,user,3,10000
1784799296.656732007,cpu,user-service-user-service-1,8.61,86.1
1784799296.656732007,db,user,3,10000
1784799299.776061384,cpu,user-service-user-service-1,7.91,87.0
1784799299.776061384,db,user,3,10000
1784799302.881226780,cpu,user-service-user-service-1,8.59,86.2
1784799302.881226780,db,user,5,10000
1784799305.985134798,cpu,user-service-user-service-1,9.00,85.3
1784799305.985134798,db,user,5,10000
1784799309.092875827,cpu,user-service-user-service-1,8.69,85.5
1784799309.092875827,db,user,3,10000
1784799312.183281025,cpu,user-service-user-service-1,8.56,85.4
1784799312.183281025,db,user,3,10000
1784799315.298523875,cpu,user-service-user-service-1,8.65,85.5
1784799315.298523875,db,user,5,10000
1784799318.384716022,cpu,user-service-user-service-1,8.45,86.0
1784799318.384716022,db,user,3,10000
1784799321.471420616,cpu,user-service-user-service-1,8.54,86.2
1784799321.471420616,db,user,3,10000
1784799324.567955985,cpu,user-service-user-service-1,8.67,86.4
1784799324.567955985,db,user,3,10000
1784799327.681890863,cpu,user-service-user-service-1,8.69,87.0
1784799327.681890863,db,user,5,10000
1784799330.789716157,cpu,user-service-user-service-1,8.46,86.9
1784799330.789716157,db,user,3,10000
1784799333.894975363,cpu,user-service-user-service-1,17.85,87.3
1784799333.894975363,db,user,5,10000
1784799337.004071646,cpu,user-service-user-service-1,8.48,87.0
1784799337.004071646,db,user,3,10000
1784799340.100674118,cpu,user-service-user-service-1,8.49,87.4
1784799340.100674118,db,user,3,10000
1784799343.193702332,cpu,user-service-user-service-1,8.13,87.6
1784799343.193702332,db,user,7,10000
1784799346.289494509,cpu,user-service-user-service-1,8.71,87.6
1784799346.289494509,db,user,3,10000
1784799349.382941198,cpu,user-service-user-service-1,8.66,87.7
1784799349.382941198,db,user,5,10000
1784799352.484022049,cpu,user-service-user-service-1,8.61,87.9
1784799352.484022049,db,user,5,10000
1784799355.590192053,cpu,user-service-user-service-1,8.71,87.1
1784799355.590192053,db,user,3,10000
1784799358.651564645,cpu,user-service-user-service-1,8.16,87.4
1784799358.651564645,db,user,3,10000
1784799361.764197417,cpu,user-service-user-service-1,8.75,87.8
1784799361.764197417,db,user,3,10000
1784799364.853377642,cpu,user-service-user-service-1,15.61,87.0
1784799364.853377642,db,user,3,10000
1784799367.939100984,cpu,user-service-user-service-1,8.83,86.1
1784799367.939100984,db,user,3,10000
1784799371.027544921,cpu,user-service-user-service-1,8.75,86.3
